
Match Number: 0 
time,	robotMode,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
int,	string,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,
Time (ms),	Robot Mode,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4,	PWM 2 PDP 1 (intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,
3600,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,41.683,44.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
3650,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,42.503,45.541,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
3700,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,43.054,46.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.850,10.500,
3750,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,43.861,47.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
3800,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,44.707,47.950,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.500,
3850,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,45.271,48.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.850,10.500,
3900,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,46.079,49.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
3950,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,46.643,50.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.600,8.844,10.850,10.500,
4000,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,47.463,50.898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
4050,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,48.027,51.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.850,10.469,
4100,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,48.847,52.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.850,10.500,
4150,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,49.373,52.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.750,10.800,10.469,
4200,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,50.181,53.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.781,10.800,10.469,
4250,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,50.975,54.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.800,10.469,
4300,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,51.501,55.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.500,8.688,10.850,10.500,
4350,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,52.308,56.179,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.550,8.750,10.850,10.500,
4400,Auto Enable,-0.250,-0.250,0.450,-1.873,TRUE,52.834,56.756,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.450,8.750,10.800,10.500,
